firstname,p_f_r_his,p_f_r_whi,p_f_r_bla,p_f_r_asi,p_f_r_oth
BEATRICE,0.000283916,0.00010398,0.000634008,8.39E-05,0.000350508
BEATRIZ,0.001152042,2.01E-05,1.79E-05,5.99E-05,0
BEAU,0,6.70E-05,0,1.20E-05,0.000116836
BECKIE,0,9.58E-06,0,0,0
BECKY,8.74E-05,0.000327902,5.36E-05,0.000161738,0.000116836
BELEN,0.000147418,4.10E-06,8.93E-06,6.59E-05,0
BELINDA,0.000300295,0.000173756,0.000687586,0.000149757,0.000467344
BELLA,1.09E-05,2.14E-05,8.93E-06,7.19E-05,0.000116836
BEN,0.000114658,0.00022301,0.000205383,0.000593038,0.000233672
BENEDETTO,0,1.09E-05,0,0,0
BENEDICT,2.18E-05,2.83E-05,5.36E-05,0.000137777,0.000116836
BENIGNO,0.000131038,4.56E-07,0,3.00E-05,0
BENITA,9.83E-05,2.14E-05,0.000196453,4.79E-05,0
BENITO,0.000595131,5.47E-06,8.93E-06,8.39E-05,0
BENJAMIN,0.001588836,0.00164407,0.001098352,0.001186076,0.001752541
BENNETT,0,4.79E-05,4.46E-05,3.00E-05,0
BENNIE,3.82E-05,4.15E-05,0.000428625,5.99E-06,0.000116836
BENNY,0.000103738,5.93E-05,0.000107156,0.000269563,0.00058418
BENSON,0,8.67E-06,2.68E-05,0.000149757,0
BENTON,5.46E-06,1.60E-05,0,1.20E-05,0.000116836
BERNABE,0.000120118,4.56E-07,0,4.79E-05,0
BERNADETTE,0.000311215,0.000229851,0.000535781,0.000275553,0.00058418
BERNADINE,2.18E-05,3.42E-05,0.000151805,2.40E-05,0
BERNARD,0.000120118,0.000479311,0.00113407,0.000251592,0.000233672
BERNARDINO,0.000141958,2.28E-06,0,2.40E-05,0
BERNARDO,0.000524152,5.47E-06,2.68E-05,0.000131786,0
BERNHARD,0,2.42E-05,0,5.99E-06,0
BERNICE,0.000103738,9.49E-05,0.000750094,4.79E-05,0
BERNIE,4.91E-05,2.51E-05,3.57E-05,5.99E-05,0
BERT,1.09E-05,8.12E-05,1.79E-05,9.58E-05,0
BERTA,0.000185637,1.05E-05,1.79E-05,5.99E-06,0
BERTHA,0.001474177,5.06E-05,0.000473273,2.40E-05,0.000116836
BERTRAM,0,1.23E-05,0.000125016,2.40E-05,0
BERTRAND,5.46E-06,1.28E-05,7.14E-05,1.80E-05,0.000116836
BERYL,0,2.60E-05,5.36E-05,1.20E-05,0.000116836
BESSIE,2.73E-05,2.74E-05,0.000446484,4.19E-05,0
BETH,7.10E-05,0.00112873,8.04E-05,6.59E-05,0.000350508
BETHANN,0,1.87E-05,0,0,0
BETHANNE,0,1.23E-05,0,0,0
BETHANY,2.18E-05,0.000264967,6.25E-05,2.40E-05,0.000350508
BETSY,0.000109198,0.000209784,7.14E-05,8.39E-05,0.000116836
BETTE,1.09E-05,7.16E-05,1.79E-05,5.99E-06,0
BETTIE,5.46E-06,2.60E-05,0.000250031,5.99E-06,0.000116836
BETTINA,3.28E-05,3.28E-05,7.14E-05,1.80E-05,0.000116836
BETTY,0.000464093,0.001079021,0.002687836,0.000682892,0.001051525
BETTYE,0,2.05E-05,0.00028575,0,0.000116836
BEULAH,0,1.05E-05,9.82E-05,5.99E-06,0
BEVERLEY,5.46E-06,4.15E-05,8.93E-05,5.99E-06,0.000116836
